Unnamed: 0,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,zscore
105,Maruti Swift VDI BSIV,1.8,110000.0,0,1,2,2010.0,1248.0,5.0,-0.9760626709706988
106,Hyundai Verna VTVT 1.6 AT EX,7.75,51000.0,1,0,1,2017.0,1591.0,5.0,0.3733969741136492
107,Hyundai Grand i10 1.2 CRDi Sportz,5.5,83000.0,0,1,1,2017.0,1186.0,5.0,-0.1369028916745496
109,Hyundai Creta 1.6 SX Automatic Diesel,13.25,58000.0,0,0,1,2018.0,1582.0,5.0,1.6207966460403571
110,Hyundai Creta 1.6 SX,11.0,36000.0,1,1,1,2018.0,1591.0,5.0,1.1104967802521586
111,Volkswagen Vento 1.0 TSI Highline AT,10.5,23500.0,1,0,1,2020.0,999.0,5.0,0.9970968100770032
112,Hyundai i20 1.2 Magna Executive,6.5,60000.0,1,1,1,2017.0,1197.0,5.0,0.0898970486757609
115,Honda Amaze V Petrol BSIV,6.0,36500.0,1,1,1,2017.0,1199.0,5.0,-0.0235029214993943
117,Kia Seltos HTX IVT,15.75,20500.0,1,0,1,2020.0,1497.0,5.0,2.1877964969161336
118,Honda Amaze S i-Vtech,4.5,30000.0,1,1,1,2015.0,1198.0,5.0,-0.3637028320248602
119,Hyundai i20 Magna 1.2,5.9,59000.0,1,1,1,2017.0,1197.0,5.0,-0.0461829155344253
120,BMW X1 sDrive 20d xLine,14.5,80000.0,0,0,1,2014.0,1995.0,5.0,1.9042965714782452
121,Hyundai Xcent 1.2 CRDi E Plus,3.8,50000.0,0,1,2,2017.0,1186.0,5.0,-0.5224627902700777
122,Tata Harrier XZAS Plus Kaziranga Edition AT,21.0,32000.0,0,0,1,2021.0,1956.0,5.0,3.378496183755264
123,Hyundai i10 Era 1.1 iTech SE,2.61,120000.0,1,1,2,2012.0,1086.0,5.0,-0.7923547192869472
128,Kia Seltos GTX Plus AT D,19.75,12000.0,0,0,1,2022.0,1493.0,5.0,3.094996258317376
130,Maruti Vitara Brezza ZDi Plus,9.5,37000.0,0,1,1,2018.0,1248.0,5.0,0.7702968697266926
